,会社名,URL,タイトル,経験,技術領域,形式,言語タグ,本文
122,ヤフー,https://about.yahoo.co.jp/hr/internship/1998,Yahoo!天気アプリ（iOS）開発チームにJoin＠大阪,,,体験,,"【概要】
多くのユーザーに人気のアプリ、Yahoo!天気。
本コースではYahoo!天気アプリにおける課題の解決に挑戦していただきます。

本コースは大阪オフィス所属の社員が担当するため、特に関西圏の方の参加を歓迎いたします！

【内容（例）】
Yahoo!天気アプリの開発（課題は個々のスキル等に応じて決定します）"
123,ヤフー,https://about.yahoo.co.jp/hr/internship/1999,Yahoo!検索 ウェブ検索結果を改善するフロントエンド開発,,,体験,,"【概要】
Yahoo!検索は、ウェブにおける一つの行動起点として重要な役割を担っています。
本インターンシップでは、Yahoo!検索のプロダクト開発に携わっていただきます。
Yahoo!検索を通して、世の中の課題解決したい方を歓迎します。

※プログラムの都合上、全日程（8/31-9/11）のご参加をお願いいたします。

【内容（例）】
Yahoo!検索のシステムや仕組みについての学習、開発（主にフロンドエンドの開発となります）"
124,ヤフー,https://about.yahoo.co.jp/hr/internship/2000,Yahoo!ブラウザーアプリ（Android） リリースにつながる案件の開発,,,体験,,"【概要】
本コースでは、Android領域におけるYahoo!検索のユーザー増加を目的に開発、運用しているアプリ「Yahoo!ブラウザー」の開発業務を経験していただきます。
開発を通じて、ヤフーのアプリ開発におけるフローや現場の雰囲気を体験できます。

本コースの特長は下記のとおりです。
・「Yahoo!ブラウザー」は他のサービスと比べると少人数での開発を行っているため、ヤフーの小規模チームにおけるアプリ開発フローを学ぶことができる
・サポート担当の以外の社員とも適宜相談ができる

※プログラムの都合上、全日程（8/31-9/11）のご参加をお願いいたします。

【内容（例）】
具体的な案件は未定ですが、下記のような案件のなかからご希望のものを選択いただく予定です。
・リリース予定の複数の小案件
・リリース予定の中案件
・リリースは未定の自分である程度仕様を考えられる案件
・社員と連携して部分的に担当する大案件
※案件によりインターンシップの期間内にリリースができない可能性があります。ご了承ください。"
125,ヤフー,https://about.yahoo.co.jp/hr/internship/2001,地図サービス ヤフーが公開しているAPI（YOLP）の開発,,,体験,Java,"【概要】
ヤフーが一般の開発者向けに公開しているYahoo! Open Local Platform（YOLP） API （https://developer.yahoo.co.jp/webapi/map/）のパフォーマンス改善やリファクタリングに携わっていただきます。
YOLPは、ヤフー社内でも使われているAPIです。 
現在Spring Boot/Javaで構築されているアプリケーションには性能面に課題が残っています。
ロジックの改善やストレージの見直しを含めた改善作業を通じて、ヤフーのエンジニアが日々取り組んでいる業務を経験できます。

【内容（例）】
ヤフーの地図サービスを支えるバックエンドサービスの課題解決"
126,ヤフー,https://about.yahoo.co.jp/hr/internship/2002,金融領域のビッグデータ分析と開発,,,体験,,"【概要】
金融領域での開発に携わっていただきます。
ヤフーの持つビッグデータや、それを支える基盤への理解を深め、実業務のなかでそのデータがどのように利活用されているかを知ることができます。

【内容（例）】
金融領域におけるデータ利活用のための開発"
127,ヤフー,https://about.yahoo.co.jp/hr/internship/2003,Yahoo!ショッピング ビッグデータで広告クリック確率予測モデルの精度改善,,,体験,,"【概要】
多くのストアに出店いただいているYahoo!ショッピングでは、ストアの売上向上のため、広告を出稿しています。
広告の出し方の一つに、ユーザーが検索したキーワードに応じて検索画面に広告を表示する方法があります。
この方法では、検索クエリとより親和性が高い商品の広告を提供することが、ユーザーと広告主の双方にとって重要です。
そこで、本コースでは、ビッグデータを活用し、広告商品のクリック確率予測を行い、ユーザーの検索意図に合った商品を推定することで、広告システムの改善に取り組んでいただきます。

【内容（例）】
Yahoo!ショッピング内の検索における広告商品のクリック確率予測モデルの精度改善"
128,ヤフー,https://about.yahoo.co.jp/hr/internship/2004,YJVOICE 注目技術を活用した音声認識エンジンの精度改善,,,体験,,"【概要】
ヤフーでは独自の音声認識エンジン""YJVOICE""を開発しています。
本コースでは、次世代の音声認識手法として近年注目を集めているend-to-endモデルのプロダクト化にあたって重要な2つの課題の解決に取り組みます。
1つ目は逐次入力される音声に対し逐次文字列を出力するオンライン化、2つ目は雑音環境下での音声認識率の向上です。

【内容（例）】
ESPnetを用いた、 Transformer、RNN-TransducerやCTCといったモデルの改良、オンライン化や雑音環境下での精度改善"
129,ヤフー,https://about.yahoo.co.jp/hr/internship/2005,広告 データ分析で広告配信量の予測精度を改善,,,体験,,"【概要】
Yahoo! JAPANの広告商品には、広告主が事前に配信期間と配信量を決めたうえで予約購入できる商品があり、
このような商品の販売には、広告配信量の予測が不可欠です。

具体的には下記のような品質保証を行っています。
・配信期間中の目標配信量を達成すること
・日々の配信量を均等に保つこと

このため、impression（広告配信量）の予測精度の向上は重要な課題となっています。
本コースでは、このimpression予測の精度改善に取り組んでいただきます。

【内容（例）】
impression（広告配信量）の予測精度の検証および精度改善"
130,ヤフー,https://about.yahoo.co.jp/hr/internship/2006,全社ユーザーデータを活用してレコメンドモデルを改善,,,体験,,"【概要】
現在ヤフーで利用しているレコメンドモデルは、レコメンド利用サービスの行動履歴があるユーザーに対してはある程度の性能を発揮しますが、履歴がない、あるいは少ないユーザーに対してのレコメンド性能にはまだ課題が残っています。

そこで本コースでは、ヤフーの他サービスでの利用傾向などを用いてユーザーの情報を補完することで、
履歴が少ないユーザーへのレコメンド性能の向上を目指していただきます。

【内容（例）】
特定のサービスを普段利用していないユーザーに対するレコメンド性能向上"
131,ヤフー,https://about.yahoo.co.jp/hr/internship/2007,全社のデータを活用したユーザー特徴のモデリング,,,体験,,"【概要】
ヤフーではユーザー一人ひとりのさまざまな属性をログから推定した「ユーザー推定属性データ」を作成しており、サービスの改善に活用しています。
一方で、サイエンティスト向けのモデリングの特徴量にそのまま利用できる「ユーザー推定属性データ」は存在しないため、さまざまなサービスで使えるユーザー属性データ開発のニーズが高まっています。
そこで本コースでは、そのなかでも深層学習で使えるデータの開発に取り組んでいただきます。

【内容（例）】
深層学習で使える「ユーザー推定属性データ」の開発"
